"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4484","Product Info Validation Test - MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","3303","Verify Search Result Count Test","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","forgot pwd link exist Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","767","@sanity POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","368","@smoke PUT API - Update a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","1","Login Application Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","0","All Header Validation Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","2","Post - Validate Create Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2531","Login Application Test DD with JSON - : Seleniumm@12345","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","5007","Perform Add to cart Test - macbook : MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2036","forgot pwd link exist Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1171","DELETE - Delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","380","GET API - get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.sep.spec.ts","",""
"","364","@smoke Delete API - Delete a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","2761","Login Application Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2508","Login Application Test DD with JSON - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1295","validate All Users schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","3561","get Cart row data Test","chromium","2026-07-01","passed","2026-07-01","","shoppingcart.spec.ts","",""
"","3294","All Header Validation Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","1773","validate user schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","0","Put - Validate Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","0","Delete - Validate Delete Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","416","POST API - Create a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","3250","Perform Search Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","2571","Login Application Test DD - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2523","Login Application Test DD with JSON - sandeepdahiya@yahoo.com :","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2618","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","1130","@sanity PUT - Update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","1971","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","3973","Verify user is able to land on product page - MacBook","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","1046","get Location","chromium","2026-07-01","passed","2026-07-01","","api/amaedeus.oauth2.spec.ts","",""
"","0","Patch - Validate Partial Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
